ds,yhat,yhat_lower,yhat_upper
2010-02-05,47837563.37875026,43578408.19906014,52311196.74505138
2010-02-12,48544598.310304776,43901256.42403662,52603891.975856096
2010-02-19,47160839.22794183,42599782.3748716,51845319.544190414
2010-02-26,45944023.756360576,41515849.57422414,50225818.27238555
2010-03-05,45669294.80364757,41106055.62944439,50156189.50710123
2010-03-12,45613297.03991029,41223435.36240776,49861886.66825204
2010-03-19,45262728.68467621,40971807.34470518,49495509.36162613
2010-03-26,45140702.814033896,40628082.9679225,49205379.25026092
2010-04-02,45821450.598092124,41380462.77136917,50258609.01886638
2010-04-09,46785419.36475425,42535889.78600519,51036745.1909661
2010-04-16,46865396.04658565,41983086.39242942,51094773.9661009
2010-04-23,45754454.92002587,41068179.49107433,50045009.79129857
2010-04-30,44549544.516489744,40283504.85247998,48973235.02087468
2010-05-07,44544425.50708632,40035320.67977856,48774284.66212029
2010-05-14,45759804.87948797,41313184.216712795,50538957.743266396
2010-05-21,47021159.61671625,42527371.49871566,51438262.133325815
2010-05-28,47405414.45932536,42594576.153361335,51713423.42517338
2010-06-04,47199902.90024109,42936130.08850565,51602422.135661915
2010-06-11,47264656.64904991,42755728.95768244,51593216.60576077
2010-06-18,47776952.98988792,43306478.125271425,52069238.991972946
2010-06-25,48025801.12811337,43297491.74595907,52359169.01719012
2010-07-02,47427158.5902298,43361750.05501936,51927887.60487387
2010-07-09,46329515.41064466,42001141.48979792,51064601.69295952
2010-07-16,45567509.39265698,41103772.83503265,49773484.93999568
2010-07-23,45457874.7832264,41396263.3581666,49904321.9574544
2010-07-30,45616024.87537957,41348330.74672652,50094660.831510074
2010-08-06,45727755.88049358,41432775.437956475,50082038.77489644
2010-08-13,46036481.87544482,41583961.665704265,50719744.53700389
2010-08-20,46759652.05621756,42454095.13241082,51574556.38428691
2010-08-27,47309487.18601899,43261847.814347535,51509618.885177344
2010-09-03,46669684.408068955,42285765.43987022,50843993.42770255
2010-09-10,44728925.258985944,40331004.83504445,49550220.51894006
2010-09-17,42826715.372825935,38036875.54862783,47383840.43149757
2010-09-24,42498204.47816339,38213022.03604833,47161436.68801808
2010-10-01,43724305.32243397,39415496.35605036,48557415.92350595
2010-10-08,44890158.82570687,40236276.46549692,49319766.2728147
2010-10-15,44704891.93625519,40128472.85033763,48730195.04771256
2010-10-22,43821796.10626333,39508633.336916454,48361209.41924837
2010-10-29,44088072.766767316,39588968.40364049,48326928.1792034
2010-11-05,46282478.64719295,41869960.94496764,50468329.86463336
2010-11-12,49184354.14680175,44761097.40508153,53677731.83498013
